question,label
When should I irrigate pulses?,IRRIGATION_GUIDE
wheat disease root rot treatment?,CROP_DISEASE
Best seed variety for sunflower?,SEED_GUIDE
How often to water soybean?,IRRIGATION_GUIDE
How to improve soil health?,SOIL_HEALTH
How to avoid insects while storing groundnut?,STORAGE_GUIDE
Best compost for healthy soil,SOIL_HEALTH
pulses disease aphids treatment?,CROP_DISEASE
Will it rain today in Mumbai?,WEATHER_QUERY
onion ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
Storage method for sunflower,STORAGE_GUIDE
Kal barsaat hogi kya?,WEATHER_QUERY
How to protect banana from blast?,CROP_DISEASE
onion disease blight treatment?,CROP_DISEASE
Best nutrients for banana,FERTILIZER_SUGGESTION
maize कसा साठवावा?,STORAGE_GUIDE
Symptoms of rust in banana,CROP_DISEASE
groundnut me paani kab dena chahiye?,IRRIGATION_GUIDE
Best nutrients for tomato,FERTILIZER_SUGGESTION
आज पाऊस येईल का?,WEATHER_QUERY
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
How to protect banana from blast?,CROP_DISEASE
grapes कसा साठवावा?,STORAGE_GUIDE
How to avoid insects while storing banana?,STORAGE_GUIDE
Will it rain today in Bhopal?,WEATHER_QUERY
Mitti ki upj kaise badhaye?,SOIL_HEALTH
High yield variety of banana,SEED_GUIDE
Best seed variety for sugarcane?,SEED_GUIDE
आज पाऊस येईल का?,WEATHER_QUERY
How much NPK for potato?,FERTILIZER_SUGGESTION
Will it rain today in Pune?,WEATHER_QUERY
High yield variety of millet,SEED_GUIDE
Which fertilizer is best for rice?,FERTILIZER_SUGGESTION
Symptoms of fungal infection in tomato,CROP_DISEASE
How to avoid insects while storing potato?,STORAGE_GUIDE
Is drip irrigation good for soybean?,IRRIGATION_GUIDE
Mitti ki upj kaise badhaye?,SOIL_HEALTH
tomato साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
High yield variety of banana,SEED_GUIDE
grapes me paani kab dena chahiye?,IRRIGATION_GUIDE
Humidity level today?,WEATHER_QUERY
How to improve soil health?,SOIL_HEALTH
sugarcane disease blight treatment?,CROP_DISEASE
आज पाऊस येईल का?,WEATHER_QUERY
potato ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
आज पाऊस येईल का?,WEATHER_QUERY
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
Best seed variety for pulses?,SEED_GUIDE
maize साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
maize ko kaise store kare?,STORAGE_GUIDE
How often to water potato?,IRRIGATION_GUIDE
How to protect potato from fungal infection?,CROP_DISEASE
Which fertilizer is best for banana?,FERTILIZER_SUGGESTION
When should I irrigate millet?,IRRIGATION_GUIDE
How often to water pulses?,IRRIGATION_GUIDE
How to avoid insects while storing sugarcane?,STORAGE_GUIDE
banana ko kaise store kare?,STORAGE_GUIDE
tomato me blast ka ilaj kya hai?,CROP_DISEASE
Kal barsaat hogi kya?,WEATHER_QUERY
How to protect soybean from blast?,CROP_DISEASE
How to reduce soil acidity?,SOIL_HEALTH
How to store wheat?,STORAGE_GUIDE
Mitti ki upj kaise badhaye?,SOIL_HEALTH
Which fertilizer is best for wheat?,FERTILIZER_SUGGESTION
rice me paani kab dena chahiye?,IRRIGATION_GUIDE
pulses ला blight झाला तर काय करावे?,CROP_DISEASE
Best nutrients for sugarcane,FERTILIZER_SUGGESTION
Best seed variety for sunflower?,SEED_GUIDE
Best compost for healthy soil,SOIL_HEALTH
sugarcane साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
groundnut ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
sugarcane साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
How often to water sugarcane?,IRRIGATION_GUIDE
What is today's weather?,WEATHER_QUERY
tomato साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
Best compost for healthy soil,SOIL_HEALTH
How to reduce soil acidity?,SOIL_HEALTH
How often to water sugarcane?,IRRIGATION_GUIDE
How often to water groundnut?,IRRIGATION_GUIDE
How to avoid insects while storing maize?,STORAGE_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
How to avoid insects while storing grapes?,STORAGE_GUIDE
How to protect grapes from leaf spot?,CROP_DISEASE
Symptoms of rust in wheat,CROP_DISEASE
banana ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
How often to water tomato?,IRRIGATION_GUIDE
Kal barsaat hogi kya?,WEATHER_QUERY
आज पाऊस येईल का?,WEATHER_QUERY
soybean साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
What is today's weather?,WEATHER_QUERY
tomato ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
How to improve soil health?,SOIL_HEALTH
When should I irrigate wheat?,IRRIGATION_GUIDE
Symptoms of leaf spot in onion,CROP_DISEASE
Which hybrid seeds are good for tomato?,SEED_GUIDE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
Mitti ki upj kaise badhaye?,SOIL_HEALTH
Storage method for pulses,STORAGE_GUIDE
Humidity level today?,WEATHER_QUERY
What is today's weather?,WEATHER_QUERY
When should I irrigate banana?,IRRIGATION_GUIDE
banana disease blight treatment?,CROP_DISEASE
